"Kod";"Nazwa";"ogółem;2004;[%]";"ogółem;2005;[%]";"ogółem;2006;[%]";"ogółem;2007;[%]";"ogółem;2008;[%]";"ogółem;2009;[%]";"ogółem;2010;[%]";"ogółem;2011;[%]";"ogółem;2012;[%]";"ogółem;2013;[%]";"ogółem;2014;[%]";"ogółem;2015;[%]";"ogółem;2016;[%]";"ogółem;2017;[%]";"ogółem;2018;[%]";"ogółem;2019;[%]";"ogółem;2020;[%]";"ogółem;2021;[%]";"ogółem;2022;[%]";"ogółem;2023;[%]";"ogółem;2024;[%]";
0200000;"DOLNOŚLĄSKIE";22,4;20,6;16,6;11,4;10,0;12,8;13,1;12,4;13,5;13,1;10,4;8,5;7,2;5,7;5,2;4,6;5,6;4,9;4,5;4,4;4,6;
0400000;"KUJAWSKO-POMORSKIE";23,6;22,3;19,2;14,9;13,3;16,2;17,0;17,0;18,1;18,2;15,5;13,2;12,0;9,9;8,8;7,9;9,0;8,1;7,3;7,1;7,3;
0600000;"LUBELSKIE";17,8;17,0;15,5;13,0;11,2;12,9;13,1;13,2;14,2;14,4;12,6;11,7;10,3;8,8;8,0;7,5;8,2;8,7;8,0;7,6;7,4;
0800000;"LUBUSKIE";25,6;23,0;19,0;14,0;12,5;16,2;15,5;15,4;15,9;15,7;12,5;10,5;8,6;6,5;5,8;4,9;6,3;5,1;4,4;4,3;4,5;
1000000;"ŁÓDZKIE";19,5;17,9;14,7;11,2;9,2;11,9;12,2;12,9;14,0;14,1;11,8;10,3;8,5;6,7;6,1;5,4;6,2;6,1;5,5;5,4;5,4;
1200000;"MAŁOPOLSKIE";15,0;13,8;11,3;8,7;7,5;9,7;10,4;10,5;11,4;11,5;9,7;8,3;6,6;5,3;4,7;4,1;5,3;5,0;4,4;4,2;4,2;
1400000;"MAZOWIECKIE";14,7;13,8;11,8;9,0;7,3;9,0;9,7;9,8;10,7;11,1;9,6;8,3;7,0;5,6;4,9;4,4;5,2;4,7;4,3;4,0;4,0;
1600000;"OPOLSKIE";20,0;18,7;16,2;11,9;9,8;12,9;13,6;13,3;14,4;14,2;11,8;10,1;9,0;7,3;6,3;5,8;6,9;6,4;5,9;5,9;5,9;
1800000;"PODKARPACKIE";19,1;18,5;16,4;14,2;13,0;15,9;15,4;15,5;16,4;16,3;14,6;13,2;11,5;9,6;8,7;7,9;9,1;9,9;8,8;8,7;8,7;
2000000;"PODLASKIE";16,1;15,6;13,3;10,4;9,7;12,8;13,8;14,1;14,7;15,1;12,9;11,8;10,3;8,5;7,7;6,9;7,8;7,8;7,0;7,0;6,9;
2200000;"POMORSKIE";21,4;19,2;15,3;10,7;8,4;11,9;12,3;12,5;13,4;13,2;11,1;8,9;7,1;5,4;4,9;4,5;5,9;5,2;4,6;4,6;4,6;
2400000;"ŚLĄSKIE";16,9;15,5;12,7;9,2;6,9;9,4;10,0;10,2;11,1;11,3;9,6;8,2;6,6;5,1;4,3;3,6;4,9;4,3;3,7;3,6;3,6;
2600000;"ŚWIĘTOKRZYSKIE";22,0;20,6;17,7;14,9;13,7;15,1;15,2;15,2;16,0;16,6;14,1;12,5;10,8;8,8;8,3;8,0;8,5;8,7;7,8;7,8;7,5;
2800000;"WARMIŃSKO-MAZURSKIE";29,2;27,2;23,6;18,7;16,8;20,7;20,0;20,2;21,3;21,6;18,7;16,2;14,2;11,7;10,4;9,1;10,2;9,1;8,6;8,3;8,3;
3000000;"WIELKOPOLSKIE";15,9;14,6;11,7;7,8;6,4;9,2;9,2;9,1;9,8;9,6;7,6;6,1;4,9;3,7;3,2;2,8;3,7;3,2;2,9;3,0;3,0;
3200000;"ZACHODNIOPOMORSKIE";27,5;25,6;21,5;16,4;13,3;17,1;17,8;17,6;18,2;18,0;15,5;13,1;10,9;8,5;7,4;6,8;8,4;7,3;6,7;6,7;6,8;
