year,unemployment,population_density,avg_salary,public_safety_exp,education_exp,migration_balance,tourism_usage,inflation,unit_Kujawsko-Pomorskie,unit_Lubelskie,unit_Lubuskie,unit_Mazowieckie,unit_Małopolskie,unit_Opolskie,unit_Podkarpackie,unit_Podlaskie,unit_Pomorskie,unit_Warmińsko-Mazurskie,unit_Wielkopolskie,unit_Zachodniopomorskie,unit_Łódzkie,unit_Śląskie,unit_Świętokrzyskie,predicted_crime
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.13161061078881
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.79491344229129
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.534190647515686
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.56074045484436
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35.87457669623974
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.13755107713273
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.288267802208445
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.662679062801697
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.06365750180849
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.51242428131644
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22.02322511589732
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.99560616616813
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26.180891561906492
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62.31736003116353
2025,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.56758905671261
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.42177503979248
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.085077871294956
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22.824355076519353
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.850904883848028
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34.16474112524341
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.427715506136398
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.578432231212112
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.952843491805364
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26.353821930812156
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.802588710320107
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.313389544900986
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.285770595171797
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24.47105599091016
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60.6075244601672
2026,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.857753485716277
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.711939468796146
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.375242300298623
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.11451950552302
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.141069312851695
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.45490555424708
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.717879935140065
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.868596660215779
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.243007920809031
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24.643986359815823
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.092753139323774
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.603553973904653
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.575935024175465
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.761220419913826
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58.897688889170865
2027,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.147917914719944
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00210389779981
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.665406729302287
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.404683934526684
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.43123374185536
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.745069983250744
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16.00804436414373
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.158761089219443
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.533172349812691
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.934150788819487
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.38291756832744
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16.893718402908316
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.866099453179125
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21.051384848917493
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57.18785331817453
2028,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.438082343723607
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.29226832680348
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.955571158305954
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.69484836353035
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.721398170859025
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.03523441225441
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.298208793147396
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.44892551822311
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.8233367788163584
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.224315217823154
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.673081997331106
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.183882831911983
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.156263882182794
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.34154927792116
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55.4780177471782
2029,7.5,98.9,7664.18,128664469.62,765078229.27,-1229.0,36.0,102.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.728246772727276
